newspaper_title,date,year,content,summary_el,country,source_url,ai_relevance,ai_topic,ai_stance,ai_notes,entities_persons,entities_locations,entities_orgs,normalized_content,news_origin,news_origin_norm,publication_place,political_orientation,orientation_notes,country_original,country_corrected_safe,country_changed_safe,row_uid,rumor_status,certainty_score,certainty_markers,transmission_formula,transmission_medium,intermediary_node,cited_source,probable_chain,rhetorical_frame_primary,rhetorical_frame_secondary,frame_confidence,canonical_event_type,event_name,event_location,event_date_reference,event_phase,story_cluster_hint,source_criticism_note,llm_confidence,needs_review,review_reason,story_cluster_id,annotation_error
Journal Des Sociétés Dagriculture Du Département De Laude,1822-05-01,1822,"D'après les nouvelles de l'insurrection de Scio, la consternation se répan-
dit å Smyrne, et elle augmenta d'heure en heure; il ne se passa pås un jour,
sans que deux à trois grecs ne fussent sacrifiés. Le 30 mars, les menaces des
Turcs devinrent encore plus terribles. Le pacha, pour prévenir des scènes san-
glanfes, fit, le 30 au soir, notifier à la commune grecque d'empêcher tous les
individus måles parmi les Grecs de sortir, et qu'il ferait porter des vivres dans
les maisons de ceux qui en auraient besoin. En conséquence, les Grecs se tin-
rent cachés dans leurs maisons, et ils firent bien, car, lorsque l'un d'eux se
montrait dans les rues, il devenait le point de mire des nombreux asiatiques
qui les parcouraient. Heureusement, ils épargnaient les femmes, sans cela, il
leur eût été impossible de pourvoir leurs familles de vivres. Les femmes et les
enfans des Grecs qui travaillaient à la journée, se rassemblérent, parcoururent
en troupes les rues pour demander l'aumône, et la triste position où l'on se
trouvait généralement augmenta la compassion. Enfin les meurtres cessèrent
tout à fait; aussi n'aperçoit-on pas l'ombre d'un grec dans les rues.",Unknown,France,https://gallica.bnf.fr/ark:/12148/bd6t51043798b,directly_relevant,Ottoman Politics,neutral,"Detailed report on the Chios insurrection, Turkish threats, sacrifices, and the general suffering of the Greek population in Smyrna.",,"Scio, Smyrne",,"D'après les nouvelles de l'insurrection de Scio, la consternation se répandit à Smyrne, et elle augmenta d'heure en heure; il ne se passa pas un jour, sans que deux à trois Grecs ne fussent sacrifiés. Le 30 mars, les menaces des Turcs devinrent encore plus terribles. Le pacha, pour prévenir des scènes sanglantes, fit, le 30 au soir, notifier à la commune grecque d'empêcher tous les individus mâles parmi les Grecs de sortir, et qu'il ferait porter des vivres dans les maisons de ceux qui en auraient besoin. En conséquence, les Grecs se tinrent cachés dans leurs maisons, et ils firent bien, car, lorsque l'un d'eux se montrait dans les rues, il devenait le point de mire des nombreux asiatiques qui les parcouraient. Heureusement, ils épargnaient les femmes, sans cela, il leur eût été impossible de pourvoir leurs familles de vivres. Les femmes et les enfants des Grecs qui travaillaient à la journée, se rassemblèrent, parcoururent en troupes les rues pour demander l'aumône, et la triste position où l'on se trouvait généralement augmenta la compassion. Enfin les meurtres cessèrent tout à fait; aussi n'aperçoit-on pas l'ombre d'un Grec dans les rues.",Smyrna,Smyrna,Unknown,inconnu,,France,France,False,8c21846888afda4e,reported,3,D'après les nouvelles; il ne se passa pas un jour; Enfin les meurtres cessèrent tout à fait,D'après les nouvelles de l'insurrection de Scio,unknown,Smyrne,,Scio -> Smyrne -> Journal Des Sociétés Dagriculture Du Département De Laude,ottoman_barbarity,humanitarian_urgency,4,atrocity,Chios massacre,Scio,30 mars,reported_account,CHIOS_MASSACRE_MARCH_1822,"The report is based on news received from Smyrna and narrates events without official confirmation, indicating a reported account rather than confirmed fact.",5,False,,CHIOS_MASSACRE_MARCH_1822_A6AFF1,
Le Moniteur Universel,1822-05-04,1822,"Extrait 1 : Grecs se tinrent cachés dans leurs maisons, et ifs firent bien, car celui d'entre eux qui se montrait dans la rue était ajusté à l'instant même par les soldats asiatiques qui se réunissaient en troupe pnar tirer sur lui(...)niais les évèneineu- T Smo pnt rallumé la fureur des Turcs contre les Grecs, et la chasse $ ' C hommes recommence(...)Les lettres qu'il nous apporte annoncent que l'insurrection de- Grecs de l'île de Scio avait occasions de nouveaux massacres à Smyrne Les Turcs avaient immolé à leur (...)... page n°NP",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k44228599,directly_relevant,Ottoman Politics,pro_greek,"Describes persecution and massacres of Greeks by Turkish soldiers in Smyrna, linked to the Chios uprising.",,"île de Scio, Smyrne",,"Extrait 1 : Les Grecs se tinrent cachés dans leurs maisons, et ils firent bien, car celui d'entre eux qui se montrait dans la rue était ajusté à l'instant même par les soldats asiatiques qui se réunissaient en troupe pour tirer sur lui (...) mais les événements ont rallumé la fureur des Turcs contre les Grecs, et la chasse aux hommes recommence (...) Les lettres qu'il nous apporte annoncent que l'insurrection des Grecs de l'île de Scio avait occasionné de nouveaux massacres à Smyrne. Les Turcs avaient immolé à leur (...) ... page n°NP",Smyrna,Smyrna,Paris,gouvernemental,Organe semi-officiel du gouvernement de la Restauration,France,France,False,4d81a821dfe1ef1c,reported,3,Les lettres qu'il nous apporte annoncent; annoncent que l'insurrection de- Grecs de l'île de Scio avait occasions de nouveaux massacres à Smyrne,Les lettres qu'il nous apporte annoncent que l'insurrection de- Grecs de l'île de Scio avait occasions de nouveaux massacres à,letter,Smyrne,,Smyrne -> Paris,ottoman_barbarity,christian_suffering,4,atrocity,Massacres at Smyrna following Chios insurrection,Smyrne,1822,reported_account,CHIOS_MASSACRES_1822,"Information is based on letters received and reports of renewed massacres, indicating a reported but not officially confirmed account.",4,False,,CHIOS_MASSACRES_1822_291E19,
Gazette de France,1822-05-06,1822,"MACEDOINE. Sérès, 2 avril. bois, Depuis huit jours nous vivons dans l'inquiétude. Les Grecs s'avancent FAR de la Morée sur plusieurs points. Colocotroni a pris le commandement en ogr.) chef pour la défense de cette péninsule. Tandis que Démétrius Ypsilanti fait des progrès en Livadie, et occupe déjà la ville d'Athènes, Odyssée, le capitaine Diamarthy et Anastasius Naso, s'avancent en même tems sur la Macédoine. Un petit corps, commandé par ces derniers, s'est emparé de la ville de Péria, à quinze lieues d'ici. Cet événement nous inquiette au dernier point, et nous fait craindre un massacre de la part des Turcs. On apprend de la côte que les bâtimens grees y reparaissent de toutes parts; ce qui ferait présumer que la flotte turque a quitté la haute mer. D'après cela, nos affaires s'améliorent; et s'il nous vient du nord des se- cours il éclaters infailliblamant dane",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k4482796w,directly_relevant,Military Operations,pro_greek,"Detailed report on Greek military advances in Morea, Livadia, Athens, and Macedonia, including named commanders and naval activity, with fear of Turkish massacres.","Kolokotronis, Demetrius Ypsilanti, Odysseus, Captain Diamarthy, Anastasius Naso","Macedonia, Serres, Morea, Livadia, Athens, Perea",,"MACEDONIA. Serres, 2 April. For eight days we have lived in anxiety. The Greeks advance from the Morea on several points. Kolokotronis has taken command as chief for the defense of this peninsula. While Demetrius Ypsilanti makes progress in Livadia, and already occupies the city of Athens, Odysseus, Captain Diamarthy and Anastasius Naso advance at the same time on Macedonia. A small corps commanded by the latter has seized the city of Perea, fifteen leagues from here. This event worries us greatly and makes us fear a massacre by the Turks. We learn from the coast that Greek ships reappear everywhere; which would suggest that the Turkish fleet has left the high seas. According to this, our affairs improve; and if help comes from the north it will surely break out.",Serres,Serres,Paris,royaliste-modéré,Proche du gouvernement Bourbon; plus modéré que les ultras stricts,France,France,False,56d87d0dffbc37de,reported,3,On apprend de la côte que; ce qui ferait présumer; D'après cela,On apprend de la côte que les bâtimens grees y reparaissent de toutes parts,unknown,Sérès,,Serres -> Paris,military_strategic,ottoman_barbarity,4,military_movement,Greek advances in Macedonia and Attica,"Macedonia, Athens",2 avril,reported_account,GREEK_WAR_OF_INDEPENDENCE_1822,The information is a secondhand report from Serres with some uncertainty indicated by phrases suggesting presumption and concern.,5,False,,GREEK_WAR_OF_INDEPENDENCE_1822_F38CDD,
"Le Véridique : Journal Administratif, Judiciaire, Littéraire Du Département De Lhérault",1822-05-09,1822,"er
ur
di
n-
de
e
s-
de
01-
es
12-
de
été jalouse de notre situation paisible. L'événement bien imprévu de Scio a
obscurei notre horizon, qui était serein depuis trois à quatre mois.
L'île de Scio peut contenir à peuprès cent mille Grecs, dont vingt-cinq mille,
environ, occupent la ville, et le reste habite soixante-six villages grands et pe.
tits. Il n'y a dans l'île que quelques mille Tures. Ils se sont renfermés réellement
dans la citadelle, parce que leur nombre s'est trouvé trop disproportionné à
celui des Grecs qui sont venus les attaquer. Cette citadelle est forte et domine
le port et la ville; elle reçoit l'eau de l'extérieur, mais elle possède un puits
dans son enceinte.
L'avis parvenu ici, du département des Samiens, de leur jonction avec plu-
sieurs mille villageois, et de leur arrivée à la ville de Scio, a produit une sen-
sation pénible, et a replongé les Grecs dans les plus vives inquiétudes. Ils les
ont manifestées dès le 27; le 28, un Grec a été tué par un soldat d'un régi-
ment qu'on venait de lever, et qui partait pour Chisme. Nous avons vu un
d'eux tirer sur un Gree; mais, dans ce moment, un Turc, vendeur de Calva,
qui s'est trouvé là, s'étant placé entre le soldat et le Grec, à qui il avait fait
signe de fuir en levant la main, a recu sur cette même main bienfaitrice la
balle funeste. Le Grec n'a pas été touché, et les Francs ont prodigué de suite à
ce brave musulman les secours de l'art. S. E. le pacha a fait marcher des pa-
trouilles dans toute la ville, a fait arrêter et mettre au fort l'homme qui avait
assassiné le Grec, et a donné l'assurance la plus formelle que le bon ordre serait
maintenu, et que les Franes, ainsi que les rajas, u'avaient rien à appréhen-
der. Une chose consolante dans l'événement de Scio, et de laquelle nous étions
déjà bien persuadés d'avance, quoique l'assurance que l'on en donne soit tou-
jours agréable, c'est que les primats et les Grecs de la ville n'ont pris aucune
part, pas plus que les catholiques, à cette invasion des Samiens, et qu'il n'y a
même que les habitans de quelques villages qui se soient joints à eux.",Unknown,France,https://gallica.bnf.fr/ark:/12148/bd6t51040053d,directly_relevant,Military Operations,pro_greek,"Describes the situation in Chios (Scio), including Greek population, Turkish forces, and Greek attacks, leading to distress among the Greeks.",,"Scio, Chisme",,"er ur din-des de 01-es 12-de été jalouse de notre situation paisible. L'événement bien imprévu de Scio a obscurci notre horizon, qui était serein depuis trois à quatre mois. L'île de Scio peut contenir à peu près cent mille Grecs, dont vingt-cinq mille environ occupent la ville, et le reste habite soixante-six villages grands et petits. Il n'y a dans l'île que quelques mille Turcs. Ils se sont renfermés réellement dans la citadelle, parce que leur nombre s'est trouvé trop disproportionné à celui des Grecs qui sont venus les attaquer. Cette citadelle est forte et domine le port et la ville; elle reçoit l'eau de l'extérieur, mais elle possède un puits dans son enceinte. L'avis parvenu ici, du département des Samiens, de leur jonction avec plusieurs mille villageois, et de leur arrivée à la ville de Scio, a produit une sensation pénible, et a replongé les Grecs dans les plus vives inquiétudes. Ils les ont manifestées dès le 27; le 28, un Grec a été tué par un soldat d'un régiment qu'on venait de lever, et qui partait pour Chisme. Nous avons vu un d'eux tirer sur un Grec; mais, dans ce moment, un Turc, vendeur de Calva, qui s'est trouvé là, s'étant placé entre le soldat et le Grec, à qui il avait fait signe de fuir en levant la main, a reçu sur cette même main bienfaitrice la balle funeste. Le Grec n'a pas été touché, et les Francs ont prodigué de suite à ce brave musulman les secours de l'art. S. E. le pacha a fait marcher des patrouilles dans toute la ville.",Samos,Samos,Montpellier,royaliste-modéré,Province Hérault; modéré,France,France,False,1dcb2f5027721c02,reported,3,L'avis parvenu ici; a produit une sensation pénible; a donné l'assurance la plus formelle,"L'avis parvenu ici, du département des Samiens, de leur jonction avec plusieurs mille villageois",unknown,département des Samiens,,Samos -> Montpellier,military_strategic,humanitarian_urgency,4,military_movement,Samiens join forces and arrive at Scio,Scio,"27-28 (April or early May 1822, unclear exact month)",reported_account,CHIOS_MILITARY_MOVEMENT_1822,"The information is a secondhand report received in Montpellier about military movements and tensions in Scio, with some official assurances but no full confirmation.",4,False,,CHIOS_MILITARY_MOVEMENT_1822_AE3871,
La Quotidienne,1822-05-11,1822,"pire le 15 mai,
duretard dans
dernière adresse
ment expire.
de chaque mois.
de port, au di-
anger, cheales
tions de la Russie, en exceptant seulement celle d'évacuer immédiate-
ment la Moldavie et la Valachie, en rétal lissant d'soord les princes
greus; it ajouta que, connaissant la msguanimité et la justicida sor -
verain de la Russie, il se flattait d'obtenir que ladite évacuation et la
reintegration des princes, ne s'effectueraient qu'après avoir totalement
aparses ja sédition des Grecs. Il priait en même temps les trois puis-
sances médiatrices de se rendre caution pour lui près de la cour de
pour cette promesse. En conséquence de cela, il a été expédic
ais depuis le
débarquement des Samiens dans l'île de Scio (voy. Fenefort), le com-
merce a été replongé dans une stagnation complète. Las Tures n'occu-
pent que la citadelle de Scio, et tous les Grecs natifs de cette île ont été
mis sons surveillance ici; et comme il y a parini eux beaucoup de riches
ségocians, la plupart se sont réfugiés dans les quartiers écartés des",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k17277445,directly_relevant,Diplomatic Relations,pro_greek,"Mentions the sedition of Greeks, the landing of Samians in Chios (Scio), and Turkish occupation and surveillance.",,"île de Scio, Chios",,"Depuis le débarquement des Samiens dans l'île de Scio (voir Chios), le commerce a été replongé dans une stagnation complète. Les Turcs n'occupent que la citadelle de Scio, et tous les Grecs natifs de cette île ont été mis sous surveillance ici; et comme il y a parmi eux beaucoup de riches négociants, la plupart se sont réfugiés dans les quartiers écartés des habitants.",Chios,Chios,Paris,ultra-royaliste,Principal organe ultra; hostile à toute concession libérale,France,France,False,cbb84937437279d9,reported,3,il se flattait d'obtenir; il priait en même temps; En conséquence de cela,,unknown,,,Chios -> Paris,diplomatic_negotiation,commercial_shipping,4,diplomacy,Russian evacuation demand and mediation efforts,Moldavie and Valachie,15 mai,reported_account,CHIOS_DIPLOMACY_MAY_1822,"The information is a reported diplomatic communication with no explicit official confirmation, reflecting ongoing negotiations and commercial impact.",5,False,,CHIOS_DIPLOMACY_MAY_1822_3397B9,
Journal De Paris,1822-05-12,1822,"Extrait 1: Le tableau hideux que leur ont fait de la nation grecque quelques jeunes gens revenus d'Hydra 1 n'a point refroidi leur enthousiasme. — L'on mande de Luxembourg qu'une contrebas *e fort active sur la frontière donne souvent lieu à des enquêtes ci i- ridelles, les coulrebandieis en venant aux mains avec les douaniers... page n°3 ... Extrait 2: D'un autre côté, six autres nahomëtans^, également esclaves des Grecs, ont eu lè bonheur de se faire rendre à M. Spad.ro(...) Les primats et les habitas grecs de la ville de Scio n'ont pris aucune part à l'invasion des Samiens... page n°4",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k3740310s,directly_relevant,Philhellenism,neutral,"Discusses philhellenic enthusiasm, the situation of 'slaves of the Greeks', and the non-participation of Chios Greeks in the Samian invasion.",,"Hydra, Luxembourg, Scio, Samiens",,"Extrait 1: Le tableau hideux que leur ont fait de la nation grecque quelques jeunes gens revenus d'Hydra n'a point refroidi leur enthousiasme. — L'on mande de Luxembourg qu'une contrebande fort active sur la frontière donne souvent lieu à des enquêtes ridicules, les contrebandiers en venant aux mains avec les douaniers... Extrait 2: D'un autre côté, six autres mahométans, également esclaves des Grecs, ont eu le bonheur de se faire rendre à M. Spadro(...) Les primats et les habitants grecs de la ville de Scio n'ont pris aucune part à l'invasion des Samiens...",Luxembourg,Luxembourg,Paris,royaliste-modéré,Modéré,France,France,False,5325b4fa02e0f12e,reported,3,L'on mande de Luxembourg; on mande; n'a point refroidi leur enthousiasme,L'on mande de Luxembourg qu'une contrebas *e fort active sur la frontière donne souvent lieu à des enquêtes,unknown,Luxembourg,,Luxembourg -> Paris,neutral_information,humanitarian_urgency,3,prisoners_captives,Release of six nahomëtans slaves by Greeks,Scio,1822,reported_account,,"The information is presented as received news from Luxembourg without official confirmation, indicating a reported account rather than confirmed fact.",4,False,,SCIO_PRISONERS_CAPTIVES_RELEASE_OF_SIX_NAHOM_TANS_SLAVES_BY_GREEKS_1822_1822_51FDF4,
Le Constitutionnel,1822-05-14,1822,"ter ensuite à Widdin, ville située sur les bords du Danube et qui
touche à la Valachie. L'armée du grand-visir s'avance également vers
les principautés: On dégarnit de soldats les provinces grecques qui
s'organisent; toutes les forces de la Turquis se dirigent vers le Pruth
et le Danube; et c'est ainsi que la Porte se montre disposée en effet
aujourd'hui nous ont
devons mettre toutes
sant le soin de juger,
avoir lu l'article man
devoir laisser subsiste
Le Constitutionnel: journal du commerce, politique et littéraire - Page2
rois pour centre-
compte, 78 518.—
94518.-Quatre
1/2.- Cinq pour
chid Pacha devait s'avancer de l'Albanie et le pácha de Salonique pas-
ser les Thermopyles; mais la flotte a été battue, l'ennemi est allaqué à Sa-
lonique par terre et par mer et les Grecs ont prevenu. Chourschid-Pacha,
en renforçant, par le corps de Colocotrone, les Albanais et les Souliotes qui
lui sont opposés.
Le Constitutionnel: journal du commerce, politique et littéraire - Pagel
lève à deux millions de piastres, et est partagé en reconnaissances de 100
75, 50 et 25 mille piastres; en même temps, l'on a excité le patriotisme
des Grecs, pour les engager à faire des dons volontaires.
On annonce qite les dépenses extraordinaires de l'année prochaine
s'éleveront à plus de 10 millions de piastres, qu'il faudra couvrir par des
emprunts et la verite des domaines de l'état, car il n'a encore été établi au-
cune autorité pour le prélèvement d'impôts réguliers, et avant la fin de
l'année il ne faut pas penser à rétablir l'ordre dans cet état bouleversé.
Les états grecs doivent à l'activite et aux connaissances de leur nouveau
président, les succès de leurs entreprises. Par sa considération person-
nelle et sa présence à Hydra, il a haté Parmement de la flotte grecque
qui, comme l'annoncent toutes les nouvelles, a battu et dispersé si com-
piètement la flotte enneinie, qu'elle ne se hazardera probablement pas à
reparaître dans la mer Egée. Sar terre, les Grecs ont remporté deux vic-
toires depuis peu, l'une en Enbée où ils ont pris Karystos, et l'autre à
Sperchios, eu le commandant turc, Mehemed-Pacha, a péri. C'est à la
croire, c'est le texte meine de
a été rendue, non sur le rapp
rité compétente, mais sur le
d'une autorité tout-à-fait ét
torité qui n'avait pas de carad
La teneur de cette ordonna
seconde observation confirma
de M. le préfet de police que
de police est dans le départe
pendant nous voyons que l'ac
nistre de la justice. Il nous so
faire n'a point suivi son coun
l'intérieur que s'adressent le
c'est là qu'ils doivent, qu'ils
Le Constitutionnel: journal du commerce, politique et littéraire - Pagel",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k6505334,directly_relevant,Military Operations,pro_greek,"Reports on Ottoman troop movements, Greek organization in provinces, a naval defeat, and Greek efforts to raise funds through voluntary donations.","chid Pacha, pacha de Salonique, Chourschid-Pacha, Colocotrone","Widdin, Danube, Valachie, principautés, Albanie, Salonique, Thermopyles","L'armée du grand-visir, Le Constitutionnel","Ter ensuite à Widdin, ville située sur les bords du Danube et qui touche à la Valachie. L'armée du grand-visir s'avance également vers les principautés: On dégarnit de soldats les provinces grecques qui s'organisent; toutes les forces de la Turquie se dirigent vers le Pruth et le Danube; et c'est ainsi que la Porte se montre disposée en effet aujourd'hui. Nous devons mettre toutes sant le soin de juger, avoir lu l'article man devoir laisser subsister Le Constitutionnel: journal du commerce, politique et littéraire - Page 2. Trois pour centre-compte, 78 518.— 94518.-Quatre 1/2.- Cinq pour chid Pacha devait s'avancer de l'Albanie et le pacha de Salonique passer les Thermopyles; mais la flotte a été battue, l'ennemi est attaqué à Salonique par terre et par mer et les Grecs ont prévenu Chourschid-Pacha, en renforçant, par le corps de Colocotrone, les Albanais et les Souliotes qui lui sont opposés. Le Constitutionnel: journal du commerce, politique et littéraire - Page 1 lève à deux millions de piastres, et est partagé en reconnaissances de 100 75, 50 et 25 mille piastres; en même temps, l'on a excité le patriotisme des Grecs, pour les engager à faire des dons volontaires. On annonce que les dépenses extraordinaires de l'année prochaine s'élèveront à plus de 10 millions de piastres, qu'il faudra couvrir par des emprunts et la vente des domaines de l'état, car il n'a encore été établi aucune autorité pour le prélèvement d'impôts réguliers, et avant la fin de l'année il ne f",Widdin,Widdin,Paris,libéral-constitutionnel,Principal organe libéral d'opposition; soutient la Charte,France,France,False,9c853ffcae969d1a,reported,3,On annonce; comme l'annoncent toutes les nouvelles; il faut penser à rétablir l'ordre dans cet état bouleversé,,unknown,,Le Constitutionnel,Widdin -> Paris,military_strategic,financial_state_building,4,military_movement,Ottoman military operations near Widdin and Greek naval victories,"Widdin, Salonique, Enbée, Sperchios",1822,reported_account,GREEK_WAR_OF_INDEPENDENCE_1822_MILITARY_OPERATIONS,The information is presented as news reports with some uncertainty and no official confirmation; it reflects contemporary newspaper reporting.,4,False,,GREEK_WAR_OF_INDEPENDENCE_1822_MILITARY_OPERATIONS_9A14E6,
Le Courrier Français,1822-05-14,1822,"pecs de l'ile de Scio, s'exprime ainsi : « Le monde chretien et civilise
ara de grandes obligations à l'empereur Alexandre s'il persévère dans la
ésolution qu'il a manifestée de protéger la liberté des cultes à l'égard des
recs, et de chasser les barbares Ottomans des lieux qu'ils ont souillés de
curs présence pendant plus de quatre cents ans. L'histoire de l'Europe
pendant les siècles de ténèbres ne présente rien de si misérable que l'é-
at de la Grèce, de ce pays autrefois l'asile des beaux-arts, des talens, des
ertas et de la philosophie. Tous les regards sont tournés vers le czar de
Moscovie, que ses inclinations non moins que ses intérêts portent à favo-
meer les efforts des Grecs. >>>
-On vient d'imprimer un état détaillé des sommes payées au gouver-
Bent pour le timbre des journaux qui se publient en Angleterre; elles s'é-
de Cassel, et s'est retire a Gotha.
AFFAIRES D'ORIENT.
(Lettre d'un Grec de Salone, 15 avril.)
ne nouvelle forme de gouvernement plus régulière en sa marche,
re adoptée pour l'Etolie, l'Acarnanie, et les contrées qui ont p",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k4702248m,directly_relevant,Philhellenism,pro_greek,"Discussion of Emperor Alexander's potential role in protecting Greeks, and the adoption of a new government form in Greek regions.","empereur Alexandre, czar de Moscovie","île de Scio, Grèce, Europe, Moscovie",Ottomans,"Pecs de l'île de Scio, s'exprime ainsi : « Le monde chrétien et civilisé aura de grandes obligations à l'empereur Alexandre s'il persévère dans la résolution qu'il a manifestée de protéger la liberté des cultes à l'égard des Grecs, et de chasser les barbares Ottomans des lieux qu'ils ont souillés de leur présence pendant plus de quatre cents ans. L'histoire de l'Europe pendant les siècles de ténèbres ne présente rien de si misérable que l'état de la Grèce, de ce pays autrefois l'asile des beaux-arts, des talents, des lettres et de la philosophie. Tous les regards sont tournés vers le czar de Moscovie, que ses inclinations non moins que ses intérêts portent à favoriser les efforts des Grecs.",Chios,Chios,Paris,libéral-républicain,Proche de La Fayette; organe républicain et libéral,France,France,False,7fd55ee8a22e7c7f,editorial_comment,4,Le monde chretien et civilise ara de grandes obligations à l'empereur Alexandre; s'il persévère dans la ésolution qu'il a manifestée; Tous les regards sont tournés vers le czar de Moscovie,,unknown,,,,christian_suffering,ottoman_barbarity,4,unclear,,Chios,,editorial_comment,CHIOS_1822,"The text is an editorial comment expressing a pro-Greek stance and hopes for Russian support, not a direct news report.",5,False,,CHIOS_1822_B1E4EE,
Journal des Débats,1822-05-14,1822,"» Comme cet événement concourt avec la sortie de la grande flotte turque, il est très possible qu'il attire sur l'île florissante de Chio des malheurs inexprimables. Les Grecs qui habitent cette capitale, même ceux qui sont le plus portés en faveur des insurgés, blâment cette ex- pédition comme entreprise avec légèreté et térérité; et ils ne l'excusent",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k434056m,directly_relevant,Military Operations,pro_greek,"Discusses the Turkish fleet, potential 'inexpressible misfortunes' on Chios (referring to the massacre), and Greek reactions to an expedition, focusing on military events.",,île de Chio,flotte turque,"Comme cet événement concourt avec la sortie de la grande flotte turque, il est très possible qu'il attire sur l'île florissante de Chio des malheurs inexprimables. Les Grecs qui habitent cette capitale, même ceux qui sont le plus portés en faveur des insurgés, blâment cette expédition comme entreprise avec légèreté et témérité; et ils ne l'excusent pas.",Chio,Chios,Paris,libéral-orléaniste,Libéral modéré; soutient Chateaubriand puis s'orléanise,France,France,False,fbe631ffec06bf1c,editorial_comment,3,il est très possible; blâment cette expédition comme entreprise avec légèreté et témérité,,unknown,,,,military_strategic,humanitarian_urgency,4,military_movement,Turkish fleet sortie and Greek expedition at Chios,Chios,1822,editorial_comment,CHIOS_1822,The text expresses an opinion on the military expedition and its possible consequences without presenting confirmed facts.,5,False,,CHIOS_1822_B1E4EE,
Niederrheinischer Kurier,1822-05-14,1822,"yor, poor to pros grande partie, ne sont qu'un ramas de mauvais sujets, dont on aura peine à tirer parti. La prise de Scio par les Grecs est un événement important, qui aura pour suite l'occupation de Mytilene, et qui pourra entraver les communications de Constantinople avec l'Egypte et avec Smyrne. (Gaz. univ.) Trieste, 30 avril. Des avis de Smyrne, du 14, font un tableau effrayant des horreurs dont cette ville est redevenue le théâtre; les Grecs sont pour ainsi dire assiégés dans leurs maisons par les Asiates qui les forcent d'en sortir en y mettant le feu. Les premiers",Unknown,France,https://gallica.bnf.fr/ark:/12148/bd6t5270508n,directly_relevant,Military Operations,pro_greek,Reports on the capture of Scio by Greeks and atrocities against Greeks in Smyrna.,,"Scio, Mytilène, Constantinople, Égypte, Smyrne",,"La prise de Scio par les Grecs est un événement important, qui aura pour suite l'occupation de Mytilène, et qui pourra entraver les communications de Constantinople avec l'Égypte et avec Smyrne. Des avis de Smyrne, du 14, font un tableau effrayant des horreurs dont cette ville est redevenue le théâtre; les Grecs sont pour ainsi dire assiégés dans leurs maisons par les Asiates qui les forcent d'en sortir en y mettant le feu.",Smyrna,Smyrna,Strasbourg,gouvernemental,Cologne/Rhin; sous administration française; modéré-gouvernemental,France,France,False,cf6d67da165bf0dd,reported,3,"Des avis de Smyrne, du 14; font un tableau effrayant des horreurs","Des avis de Smyrne, du 14, font un tableau effrayant des horreurs dont cette ville est redevenue le théâtre",letter,Smyrne,Gaz. univ.,Smyrne -> Trieste -> Strasbourg,ottoman_barbarity,military_strategic,4,atrocity,Chios massacre,Smyrne,14 April 1822,reported_account,CHIOS_MASSACRE_APRIL_1822,"The information is based on reports dated 14 April from Smyrna, cited secondarily by Gaz. univ., indicating a reported account rather than confirmed fact.",5,False,,CHIOS_MASSACRE_APRIL_1822_AB6CFC,
Journal Politique Et Littéraire De Toulouse Et De La Haute-Garonne,1822-05-17,1822,"De celles de quel-
lesquelles il s'en
ernière. Il paraît
tomber depuis le
SMYRNE, 4 mars.
(Extrait d'une lettre......)
Les propriétés des malheureux Grecs ont été pillées, et les maisons re-
couvertes du sceau du gouvernement turc. Rien n'est plus hideux que le ta-
bleau des massacres et des dévastations qu'on a exercés sur cette classe d'hom-",Unknown,France,https://gallica.bnf.fr/ark:/12148/bpt6k5360461f,directly_relevant,Ottoman Politics,neutral,Describes pillaging and massacres of Greeks by the Turkish government in Smyrna.,,Smyrne,gouvernement turc,"De celles de quelles il s'en est dernier. Il paraît tomber depuis le SMYRNE, 4 mars. (Extrait d'une lettre...) Les propriétés des malheureux Grecs ont été pillées, et les maisons recouvertes du sceau du gouvernement turc. Rien n'est plus hideux que le tableau des massacres et des dévastations qu'on a exercés sur cette classe d'hommes.",Smyrna,Smyrna,Toulouse,royaliste-modéré,Presse provinciale modérée,France,France,False,625c31094c257fd1,reported,3,Il paraît tomber depuis le SMYRNE; Extrait d'une lettre,Extrait d'une lettre,letter,Smyrna,,Smyrna -> Toulouse,ottoman_barbarity,christian_suffering,4,atrocity,Massacres and pillaging of Greek properties,Smyrna,4 mars,reported_account,,"The information is based on an excerpt of a letter received from Smyrna, indicating reported but not confirmed news of massacres and pillaging.",5,False,,SMYRNA_ATROCITY_MASSACRES_AND_PILLAGING_OF_GREEK_PROPERTIES_4_MARS_1822_FED25F,
