story_cluster_id,count
ATHENS_ACROPOLIS_SIEGE_1822_95A1BD,1
LEVANT_MILITARY_MOVEMENT_PROTECTION_OF_GREEK_EASTER_FESTIVITIES_IN_THE_LEVANT_18_39A208,1
GREEK_WAR_OF_INDEPENDENCE_1822_APRIL_5905E3,1
SAMOS_RELIEF_MAY_1822_181391,1
CYPRUS_ECCLESIASTICAL_TAXATION_APRIL_1822_1826F9,1
TURKISH_MILITARY_OPERATIONS_1822_4B9E11,1
GREEK_NAVAL_OPERATIONS_MAY_1822_868F08,1
GREEK_NAVAL_MOVEMENT_1822_6B1C9D,1
CHIOS_BATTLE_1822_E0ABBF,1
CHIOS_NAVAL_BATTLE_MAY_1822_2BB2B2,1
CHIOS_FALL_1822_7F0AAC,1
SMYRNA_NAVAL_OPERATION_GREEK_ATTACK_ON_TURKISH_SQUADRON_1822_1822_9A9234,1
GREEK_INDEPENDENCE_1822_6DA788,1
CHIOS_INSURRECTION_1821_1822_7D5691,1
GREEK_NAVAL_OPERATION_MAY_1822_97B6E3,1
GREEK_NAVAL_OPERATION_1822_A7E38E,1
ATROCITY_MASSACRE_OF_TWO_HUNDRED_YOUNG_GREEKS_HELD_HOSTAGE_1822_1822_CA591F,1
HYDRA_NAVAL_OPERATIONS_MAY_1822_FEAC95,1
CHIOS_MERCHANTS_EXECUTION_JUNE_1822_D931B2,1
ROMANIA_CAPITULATION_MAY_1822_6B92EF,1
MISSOLONGHII_NAVAL_ACTION_1822_B92A60,1
PHILHELLENISM_1822_62F03D,1
OTTOMAN_EMPIRE_ATROCITY_MASSACRE_OF_GREEKS_IN_THE_OTTOMAN_EMPIRE_1822_1822_51F3A5,1
OTTOMAN_EMPIRE_DIPLOMACY_RUSSIAN_DECLARATION_OF_WAR_ON_THE_OTTOMAN_EMPIRE_1822_1_6EF339,1
LONDON_POLITICAL_DEVELOPMENT_PETITION_IN_BRITISH_HOUSE_OF_COMMONS_ON_GREEK_REFUG_F5A33F,1
BELGRADE_ASSAULT_1822_89B7D1,1
HYDRA_MOREA_BATTLE_GREEK_TURKISH_CONFLICT_NEAR_HYDRA_AND_MOREA_JULY_1822_1822_186894,1
ATROCITY_MASSACRE_OF_GREEKS_1822_423D72,1
GREEK_MILITARY_OPERATIONS_1822_831DFD,1
GREEK_INSURRECTION_1822_3FE0E1,1
ATROCITY_MASSACRE_OF_GREEKS_A_FEW_DAYS_BEFORE_PUBLICATION_1822_11_02_1822_104BFE,1
DARDANELLES_RETREAT_SEPT_1822_7B9903,1
CHIOS_NAVAL_OPERATION_1822_D15661,1
CYPRUS_GREEK_LANDING_1822_267CB4,1
CONSTANTINOPLE_ATROCITY_RUMORED_MASSACRE_OF_CHRISTIANS_1822_1822_E03C29,1
MISSOLONGHII_NAVAL_1822_BB9595,1
CHIOS_NAVAL_OPERATION_NOV1822_6D352F,1
