story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,military_movement,Greek military operations early 1827,"Greece (Athens, Modon, Missolonghi, Navarin, Tripolitza, Syra)",up to 8 February 1827,reported,reported_account,military_strategic,Journal du Commerce,1827-03-29,Paris,Corfu,Le paquehot de Corfou nous apporte des nouvelles qui vont jusqu'an 8 février,ship,Corfu -> Trieste -> Paris,"The information is based on secondhand reports arriving via Corfu and Trieste, with phrases indicating hearsay and uncertainty.",False,
ATHENES_BATTLE_1827_58F040,ATHENES_BATTLE_1827,battle,Délivrance de la citadelle d'Athènes,Athènes,1827,reported,reported_account,military_strategic,Journal Du Cher,1827-04-21,Unknown,Zante,plus récentes arrivées par une autre voie annoncent la délivrance de la citadelle d'Athènes,unknown,Zante -> Journal Du Cher,"The information is based on recent arrivals and a letter from Zante, indicating reported but not officially confirmed news.",False,
GREEK_GOVERNMENT_APPOINTMENT_1827_122D06,GREEK_GOVERNMENT_APPOINTMENT_1827,political_development,Consideration of Capo d'Istria as Head of Greek Government,Greece,1827,reported,reported_account,diplomatic_negotiation,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1827-06-01,Bordeaux,Geneva,"on vient de recevoir, par Marseille, la nouvelle de l'arrivée dans les eaux de Navarin de",ship,Geneva -> Marseille,"The information is based on a correspondent's report relayed through a newspaper and a postscript announcing news arrival, indicating it is a reported rumor rather than confirmed fact.",False,
ATHENS_BATTLE_MAY_1827_07FBA5,ATHENS_BATTLE_MAY_1827,battle,Battle near Athens and death of Karaiskaki,Athens,"May 19 and May 29, 1827",reported,reported_account,military_strategic,Journal De Valenciennes : Feuille Dannonces Judiciaires Et Commerciales,1827-06-16,Unknown,Syros,"Un navire, qui a quitté Syra le 29 mai, nous porte la triste nouvelle",ship,Syra -> Journal De Valenciennes,"The information is based on correspondence and letters received via ship from Syra, reflecting reported but not officially confirmed news.",False,
IBRAHIM_PACHA_MASSACRE_MAY_1827_73AA2F,IBRAHIM_PACHA_MASSACRE_MAY_1827,atrocity,Massacre by Ibrahim Pacha in Old Hellas,Old Hellas,16 May 1827,reported,reported_account,ottoman_barbarity,"Petites Affiches, Annonces Et Avis Divers De Valenciennes",1827-06-16,Unknown,Corfu,contiennent une lettre de Corfou du 16 mai,letter,Corfu -> Trieste -> Valenciennes,"The information is based on a letter cited by a newspaper and a report from Trieste, indicating reported but not confirmed news.",False,
ATHENS_BATTLE_MAY_JUNE_1827_37B8D2,ATHENS_BATTLE_MAY_JUNE_1827,battle,Battle near Athens and defense of the Acropolis,"Athens, Acropolis","May 19-20, 1827 and June 2, 1827",reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1827-06-17,Bordeaux,Trieste,"Un navire, qui a quitté Syra le 20 mai, nous porte la triste nouvelle",ship,Syra -> Trieste -> Bordeaux,The information is based on reports received via a ship from Syra and includes some confirmation but also notes inaccuracies in other published details.,False,
ATHENS_BATTLE_MAY_1827_07FBA5,ATHENS_BATTLE_MAY_1827,battle,Battle near Athens and fall of Acropolis,"Athens, Acropolis",6 May 1827,reported,reported_account,military_strategic,Journal Politique Et Littéraire De Toulouse Et De La Haute-Garonne,1827-06-19,Toulouse,Constantinople,On a reçu du théâtre de la guerre la nouvelle que l'essai tenté par l'amiral Cochrane,unknown,Syra -> Trieste -> Toulouse,"The information is based on received news and reports from the Levant and a ship from Syra, indicating a reported but not officially confirmed defeat of Greek forces near Athens.",False,
PELOPONNESE_CAMPAIGN_1827_3B2C89,PELOPONNESE_CAMPAIGN_1827,military_movement,Ibrahim-Pacha's campaign in the Peloponnese,Peloponnese,1827,reported,reported_account,military_strategic,Journal du Commerce,1827-08-05,Paris,Aurillac,(Feuilles allemandes.),newspaper_reprint,Aurillac -> Paris,"The information is a secondhand report from German newspapers cited in a French paper, indicating moderate reliability but lacking official confirmation.",False,
NAVARIN_NAVAL_OPERATION_JUNE_1827_D6894C,NAVARIN_NAVAL_OPERATION_JUNE_1827,naval_operation,Naval encounter near Navarin,Navarin,23 juin,reported,reported_account,military_strategic,Niederrheinischer Kurier,1827-08-07,Strasbourg,Corfu,"Une lettre de Corfou, du 4 juillet, annonce que le 23 juin",letter,Corfu -> Strasbourg,"The information is based on a letter from Corfu reporting proximity of Greek and Turkish fleets, with anticipation of a forthcoming battle, indicating preliminary news rather than confirmed events.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,military_movement,Ibrahim-Pacha's movements near Calavrita and Vostizza,"Calavrita, Vostizza, Patras","26 June, 31 May - 10 July",reported,reported_account,military_strategic,Le Moniteur Universel,1827-08-25,Paris,Patras,,unknown,Patras -> Paris,The information is a newspaper report citing an Austrian observer and includes phrases indicating uncertainty about Ibrahim-Pacha's exact route.,False,
GREEK_NAVAL_OPERATIONS_JULY_1827_88BFF1,GREEK_NAVAL_OPERATIONS_JULY_1827,naval_operation,Greek naval engagement near Patras,golfe de Patras,23-25 juillet 1827,reported,reported_account,military_strategic,Gazette de France,1827-09-02,Paris,Corfu,"Les lettres de Corfou, du 31 juiliet, portent en substance que",letter,Corfu -> Paris,"The information is based on letters from Corfu dated 31 July 1827 reporting naval skirmishes, with some uncertainty about details and injuries.",False,
IONIAN_NAVAL_OPERATIONS_SUMMER_1827_8817B1,IONIAN_NAVAL_OPERATIONS_SUMMER_1827,naval_operation,Naval engagements near Patras and Ionian Islands,"Patras, Ionian Islands, Zante, Corfu",May to early August 1827,reported,reported_account,military_strategic,La Quotidienne,1827-09-02,Paris,Corfu,"Des rapports de Corfou, du 31 juillet, mandent que",letter,Corfu -> La Quotidienne,"The information is based on letters and reports from Corfu and Prevesa, with some positive assertions but no official confirmation.",False,
HYDRA_NAVAL_OPERATIONS_JULY_1827_F6A2DE,HYDRA_NAVAL_OPERATIONS_JULY_1827,naval_operation,Naval engagements near Patras and Lepanto,"golfe de Patras, golfe de Lépante","20 juillet, 23 juillet",reported,reported_account,military_strategic,Le Moniteur Universel,1827-09-02,Paris,Hydra,,unknown,Hydra -> Paris,The information is a newspaper report from Le Moniteur Universel citing events near Hydra with no explicit official confirmation.,False,
NAVARINS_MILITARY_MOVEMENT_IBRAHIM_PACHA_S_SUSPENSION_OF_MARCH_1827_09_04_1827_2587D2,,military_movement,Ibrahim Pacha's suspension of march,Navarins,1827-09-04,reported,reported_account,military_strategic,La Quotidienne,1827-09-04,Paris,Corfu,Des lettres de Corfou affirment qu'Ibrahim-Pacha a tout-à-coup suspendu sa marche,letter,Corfu -> Paris,"Information is based on letters from Corfu and suppositions, indicating it is a reported but unconfirmed military movement.",False,
GREEK_NAVAL_OPERATIONS_SUMMER_1827_4DB53B,GREEK_NAVAL_OPERATIONS_SUMMER_1827,naval_operation,Naval engagements near Patras and Zante involving Greek and Turkish ships,"Gulf of Patras, Zante","31 July 1827, 5 August 1827",reported,reported_account,military_strategic,Journal Politique Et Littéraire De Toulouse Et De La Haute-Garonne,1827-09-06,Toulouse,Corfu,"Les lettres de Corlou, du 31 juillet, portent en substance",letter,Corfu -> Toulouse,"The information is based on letters from Corfu reporting naval skirmishes; no official confirmation is provided, so the news remains reported but not confirmed.",False,
NAVARINO_SLAVES_ARRIVAL_SEPT_1827_1EB4A9,NAVARINO_SLAVES_ARRIVAL_SEPT_1827,prisoners_captives,Arrival of Greek slaves from Navarino,Navarino,1827-09-11 (implied by 'Hier' and publication date 1827-09-12),reported,reported_account,military_strategic,Le Moniteur Universel,1827-09-12,Paris,Navarino,"Hier, deux bricks de guerre et deux bâtimens de transport venant de Navarin, sont arrivés ici",ship,Navarin -> Paris,"The information is based on a recent arrival of ships from Navarino reported in the newspaper, without explicit official confirmation.",False,
GREEK_SLAVES_TRANSPORT_JULY_1827_D0B432,GREEK_SLAVES_TRANSPORT_JULY_1827,prisoners_captives,Transport of Greek slaves captured by Ibrahim Pacha after the battle of Lemul,Alexandria,July 1827,reported,reported_account,diplomatic_negotiation,Journal du Commerce,1827-09-16,Paris,Alexandria,"Le Spectateur donne les nouvelles suivantes d'Alexandrie, a juillet.",newspaper_reprint,Navarin -> Alexandrie -> Paris,"The information is a secondhand newspaper report citing another newspaper from Alexandria, indicating reported but not confirmed news.",False,
NAVARINO_FLEET_SEPT_1827_3BDCCD,NAVARINO_FLEET_SEPT_1827,naval_operation,Turco-Egyptian fleet arrival at Navarino,Navarin,9 September 1827,reported,reported_account,military_strategic,La Quotidienne,1827-10-03,Paris,Corfu,"On écrit de Corfou que le 9 septembre, la flotte turco-égyptienne ... a été vue entrant à Navarin",newspaper_reprint,Corfu -> Paris,"The information is a secondhand report reprinted from the Moniteur citing news from Corfu, indicating it is a reported account rather than confirmed fact.",False,
GREEK_ARMISTICE_ACCEPTANCE_AUGUST_1827_AFF72B,GREEK_ARMISTICE_ACCEPTANCE_AUGUST_1827,diplomacy,Greek Republic acceptance of armistice proposal,Aegina,25 août 1827,reported,reported_account,diplomatic_negotiation,Journal du Commerce,1827-10-03,Paris,Aegina,"On écrit d'Odessa, le 8 octobre",letter,Constantinople -> Odessa -> Paris,"The information is based on official correspondence and letters reporting diplomatic communications and intentions, but not formal ratification.",False,
GREEK_INSURRECTION_SUBMISSION_1827_A517DD,GREEK_INSURRECTION_SUBMISSION_1827,diplomacy,Greek insurgents' submission and amnesty petitions,Greek mainland outside Peloponnese,"September 18-25, 1827",reported,reported_account,diplomatic_negotiation,Niederrheinischer Kurier,1827-10-07,Strasbourg,Constantinople,"On écrit de Constantinople, le 25 septembre",letter,Constantinople -> Strasbourg,"The information is based on dated letters and reports from Constantinople, Corfu, and Vienna, indicating reported news rather than official confirmation.",False,
NAVARINO_SEPT_1827_2853CD,NAVARINO_SEPT_1827,naval_operation,Navarino naval engagement,Navarino,3rd of Sept,reported,reported_account,military_strategic,Essex & Herts Mercury,1827-10-09,London,Navarino,,newspaper_reprint,Navarino -> London,"The information is a newspaper reprint citing another newspaper (The Momteur) without explicit official confirmation, indicating a reported account.",False,
NAVARIN_MILITARY_MOVEMENT_EGYPTIAN_FORCES_LANDING_AT_NAVARIN_OCT_6_1827_A9E3EF,,military_movement,Egyptian forces landing at Navarin,Navarin,OCT. 6,reported,reported_account,military_strategic,Le Globe,1827-10-10,Paris,Paris,upon the testimony of letters recently received from the scene of,letter,,"The information is based on letters recently received and includes some uncertainty and differing opinions, indicating it is a reported but not confirmed account.",False,
NAVARINO_1827_D6D0A4,NAVARINO_1827,military_movement,Egyptian landing at Navarino and British naval warning,Navarin,1827-10-10,reported,reported_account,military_strategic,Journal Du Cher,1827-10-10,Unknown,Navarino,Suivant une lettre du respectable M. Eynard,letter,Navarino -> Journal Du Cher,"The information is based on a letter cited in the newspaper and statements by a British admiral, indicating a reported but not officially confirmed account.",False,
NAVARIN_LANDING_OCT1827_9B2840,NAVARIN_LANDING_OCT1827,military_movement,Egyptian forces landing at Navarin,Navarin,OCT 6,reported,reported_account,military_strategic,Exeter Flying Post,1827-10-11,Devon,Paris,upon the testimony of letters recently received from the sc e ne,letter,Paris -> Devon,"The information is based on letters recently received and hearsay, indicating a reported but unconfirmed military movement.",False,
NAVARINO_BLOCKADE_AUGUST_1827_917A7F,NAVARINO_BLOCKADE_AUGUST_1827,naval_operation,Blockade of Navarino and Allied Naval Movements,Navarino,28 août 1827,reported,reported_account,military_strategic,Niederrheinischer Kurier,1827-10-11,Strasbourg,Strassburg,Voici les nouvelles que l'on a reçues ici par des navires récemment arrivés,ship,Rio-Janéiro -> Ancone -> Strasbourg,"The information is based on letters and reports received via ships and allied admirals' declarations, indicating reported but not officially confirmed news.",False,
GREEK_WAR_OF_INDEPENDENCE_1827_FB2564,GREEK_WAR_OF_INDEPENDENCE_1827,military_movement,Greek military advances and naval blockades near Navarin and Modon,"Navarin, Modon, Greece",up to 16 September 1827,reported,reported_account,military_strategic,Journal De Valenciennes : Feuille Dannonces Judiciaires Et Commerciales,1827-10-11,Unknown,Valenciennes,On lit les passages suivans dans une lettre de M. Eynard,letter,,"Information is based on a letter from M. Eynard and reports received up to mid-September 1827, indicating favorable but not officially confirmed news.",False,
NAVARIN_FLEET_MOVEMENT_1827_EAD7F3,NAVARIN_FLEET_MOVEMENT_1827,military_movement,Egyptian fleet movement to Navarin,Navarin,before 30 August 1827,reported,reported_account,military_strategic,La Quotidienne,1827-10-13,Paris,Constantinople,"Voici une lettre directement arrivée de Constantinople, du 15 septembre",letter,Constantinople -> Paris,"The information is based on a letter received from Constantinople and official statements, but lacks full confirmation and relies on probable language.",False,
NAVARINO_BLOCKADE_SEPT_1827_DF2E67,NAVARINO_BLOCKADE_SEPT_1827,naval_operation,French and English squadrons blockade Navarino,Navarin,25 septembre,rumor,reported_account,military_strategic,Gazette de France,1827-10-14,Paris,Corfu,"Des nouvelles de Corfou, du 25 septembre, mais d'origine grecque, annoncent que",newspaper_reprint,Corfu -> Gazette d'Augsbourg -> Gazette de France,"The information is based on Greek-origin news reported via Corfu and cited from another newspaper, presented as unconfirmed and conditional.",False,
NAVARINO_1827_D6D0A4,NAVARINO_1827,military_movement,Ottoman fleet at Navarino,Navarino,1827-10-16,reported,reported_account,ottoman_barbarity,La Quotidienne,1827-10-16,Paris,Navarino,,unknown,,"The information is a partial excerpt from a French ultra-royalist newspaper report, presenting a neutral stance but with some editorial tone; no official confirmation is given.",False,
EGYPTIAN_FLEET_ARRIVAL_MOREA_1827_CE1EFE,EGYPTIAN_FLEET_ARRIVAL_MOREA_1827,military_movement,Arrival of Egyptian fleet in Morea,"Morea, Navarin",before 30 August 1827,reported,reported_account,military_strategic,Journal du Commerce,1827-10-16,Paris,Odessa,Du 18 septembre (Par Odessa ),newspaper_reprint,Odessa -> Journal du Commerce (Paris),"The information is a reported account from a reprint of a foreign newspaper dated 18 September via Odessa, with some official statements referenced but no full confirmation.",False,
NAVARIN_BLOCKADE_SEPT_1827_790489,NAVARIN_BLOCKADE_SEPT_1827,military_movement,Navarin naval blockade and Lord Cochrane operations,Navarin,25 septembre,reported,reported_account,military_strategic,Journal De Valenciennes : Feuille Dannonces Judiciaires Et Commerciales,1827-10-16,Unknown,Corfu,"Des nouvelles de Corfou, du 25 septembre, mais emi, qui ma- d'origine grecque, annoncent que",unknown,Corfu -> Journal De Valenciennes,"The information is a reported account from Greek sources via Corfu, with some expressed uncertainty about confirmation.",False,
GREEK_INDEPENDENCE_DIPLOMACY_1827_9A83DC,GREEK_INDEPENDENCE_DIPLOMACY_1827,diplomacy,Ottoman Sultan's Declaration on Greek Independence Demands,Constantinople,juillet (July) 1827,reported,reported_account,diplomatic_negotiation,Journal du Commerce,1827-10-16,Paris,Constantinople,dès que la soc relative au traite du G juillet a été présentée à la Forte-Ottomane de la part des,official_dispatch,Constantinople -> Forte-Ottomane,The information is a reported announcement referencing an official Ottoman declaration but lacks explicit confirmation or multiple sources.,False,
NAVARIN_BLOCKADE_SEPT_1827_790489,NAVARIN_BLOCKADE_SEPT_1827,naval_operation,Blockade of Navarin and Greek naval operations,"Navarin, Anatolico, Vassiladi, Missolonghi","25 septembre, 28 septembre",reported,reported_account,military_strategic,Journal Politique Et Littéraire De Toulouse Et De La Haute-Garonne,1827-10-18,Toulouse,Ancona,Le paquebot à vapeur est arrivé aujourd'hui de Corfou en 50 heures.,steamboat,Corfou -> Toulouse,"The information is based on Greek-origin news reported via Corfu and conveyed by steamboat, with some expressed uncertainty about confirmation.",False,
NAVARINO_UNCLEAR_SEPTEMBER_26TH_1827_8146CD,,unclear,,Navarino,September 26th,reported,reported_account,neutral_information,London Courier,1827-10-20,London,Navarino,"on i tlie authority a letter from Navariu, dated September 26th",letter,Navarino -> London,"The information is based on a letter cited by another newspaper, indicating a secondhand report without official confirmation.",False,
GREEK_ARMISTICE_SEPT_1827_526033,GREEK_ARMISTICE_SEPT_1827,diplomacy,Greek government acceptance of armistice proposal,Navarin,3 septembre,reported,reported_account,diplomatic_negotiation,"Journal Du Gard : Politique, Administratif Et Littéraire [Puis Administratif, Judiciaire, Commercial, Dagriculture, Sciences Et Arts]",1827-10-20,Unknown,Navarino,"Le Moniteur, à qui nous empruntons ces nouvelles",newspaper_reprint,,"The information is reported via a secondary newspaper citing Le Moniteur, indicating it is a reported account rather than confirmed official news.",False,
NAVARIN_NAVAL_OPERATIONS_SEPT_1827_A5D3D3,NAVARIN_NAVAL_OPERATIONS_SEPT_1827,naval_operation,Naval blockade and operations near Navarin,Navarin,29 septembre 1827,reported,reported_account,military_strategic,"Journal De Lot-Et-Garonne : [Puis Politique, Administratif, Littéraire, Dannonces Judiciaires Et Davis Divers Puis Feuille Des Mairies, Administrative, Politique, Commerciale Et Dannonces Judiciaires]",1827-10-20,Unknown,Corfu,"Des nouvelles de Gorfou, du 29 septembre, mais d'origine grecque, annoncent que",unknown,Corfu -> unknown,The information is based on Greek-origin news reported from Corfu and is presented with some caution pending confirmation.,False,
GREEK_SUBMISSION_AND_NAVARINO_SEP_1827_438D1F,GREEK_SUBMISSION_AND_NAVARINO_SEP_1827,diplomacy,Submission of Greek mainland provinces to Ottoman Porte and naval movements at Navarino,Greek mainland provinces outside Peloponnese; Port of Navarino,"September 21-22, 1827 (Navarino naval movements); submission act brought 'today' (relative to publication)",reported,reported_account,diplomatic_negotiation,La Quotidienne,1827-10-24,Paris,Augsburg,Gazette d'Augsbourg,newspaper_reprint,Augsbourg -> La Quotidienne (Paris),"The information is a reprint from the Gazette d'Augsbourg, reporting diplomatic submissions and naval observations without official Ottoman confirmation.",False,
NAVARINO_ARMISTICE_1827_038D4E,NAVARINO_ARMISTICE_1827,diplomacy,Armistice between Ibrahim and Greek government,Navarino,1827-10,reported,reported_account,diplomatic_negotiation,Journal des Débats,1827-10-27,Paris,Navarino,Un cutter de guerre anglais a apporté au lord haut commissaire des dépêches del'amiral Codrington,ship,Navarin -> Paris,"The information is presented as reported rumors with no official confirmation, relying on diplomatic dispatches and hearsay.",False,
CHIOS_LANDING_SEPT_1827_D77A0E,CHIOS_LANDING_SEPT_1827,military_movement,Greek landing at Chios and related military activities,Chios,29 September 1827,rumor,reported_account,military_strategic,Le Moniteur Universel,1827-10-27,Paris,Constantinople,"Des lettres de Constantinople, du 29 septembre, nous donnent enfin des explications",letter,Constantinople -> Paris,"The information is largely presented as rumors and unconfirmed reports from letters and public rumors, lacking official confirmation.",False,
NAVARIN_1827_02906A,NAVARIN_1827,military_movement,Greek naval and military operations around Morée and Navarin,"Morée, Navarin",6 juillet 1827,reported,reported_account,military_strategic,Le Courrier Français,1827-10-28,Paris,Navarino,,unknown,,"The information is a reported account with some expressions of optimism and references to diplomatic conventions, but lacks official confirmation.",False,
NAVARINO_ARMISTICE_1827_038D4E,NAVARINO_ARMISTICE_1827,diplomacy,Armistice near Navarino,Navarino,Du 8,reported,reported_account,diplomatic_negotiation,"Journal De Lot-Et-Garonne : [Puis Politique, Administratif, Littéraire, Dannonces Judiciaires Et Davis Divers Puis Feuille Des Mairies, Administrative, Politique, Commerciale Et Dannonces Judiciaires]",1827-10-31,Unknown,Navarino,,unknown,,"The information is presented as reported rumors without official confirmation, indicated by cautious language.",False,
NAVARINO_BATTLE_1827_CE0A21,NAVARINO_BATTLE_1827,atrocity,Aftermath of Battle of Navarino,Navarino,22 (two days after the affair),reported,reported_account,ottoman_barbarity,"Lami De La Religion Et Du Roi : Journal Ecclésiastique, Politique Et Littéraire",1827-11-01,Unknown,Navarino,On nous a communiqué l'extrait suivant d'une lettre écrite par un jeune homme servant à bord du vaisseau,letter,Navarino -> France,"The information is based on a letter from a crew member aboard HMS Albion and a newspaper reprint, indicating a reported account rather than official confirmation.",False,
GREEK_NAVAL_OPERATIONS_1827_FC6A2E,GREEK_NAVAL_OPERATIONS_1827,naval_operation,Greek naval operations near Dragomestre and piracy incidents,"Dragomestre, Albanie; îles et Grèce occidentale",1827-11-04,reported,reported_account,military_strategic,Journal du Commerce,1827-11-04,Paris,Geneva,"On a reçu aujourd'hui au cabinet d'assurance, dit de Lloyd, une liste de 81 navires",unknown,,Information is based on received reports and assurances but lacks official confirmation; some data remain uncertain.,False,
GREEK_NAVAL_OPERATIONS_1827_FC6A2E,GREEK_NAVAL_OPERATIONS_1827,naval_operation,Greek naval attack in the Gulf of Patras,Gulf of Patras,2 octobre,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1827-11-06,Bordeaux,Trieste,"Un capitaine arrivé de Patras en onze jours, rapporte",ship,Patras -> Trieste -> Bordeaux,"The information is based on a report from a captain arriving from Patras, indicating a secondhand account without official confirmation.",False,
