story_cluster_id,story_cluster_hint,canonical_event_type,event_name,event_location,event_date_reference,rumor_status,event_phase,rhetorical_frame_primary,newspaper_title,date,publication_place,news_origin_norm,transmission_formula,transmission_medium,probable_chain,source_criticism_note,needs_review,review_reason
MISSOLONGHII_PIRACY_1826_2E9AAA,MISSOLONGHI_PIRACY_1826,other,Piracy complaint near Zante,Zante,1826,reported,reported_account,commercial_shipping,Sun (London),Wednesday 14 June 1826,London,Zante,,unknown,Zante -> London,The report describes recent piracy complaints and a specific incident but lacks official confirmation or named sources.,False,
MISSOLONGHII_1826_143389,MISSOLONGHI_1826,military_movement,Greek piracy near Zante,Zante,very lately,reported,reported_account,commercial_shipping,Morning Herald (London),Thursday 15 June 1826,London,Missolonghi,,unknown,Missolonghi -> London,"The report is based on a recent incident described without official confirmation, indicating a news report rather than verified fact.",False,
MISSOLONGHII_1826_143389,MISSOLONGHI_1826,unclear,,Missolonghi,,reported,reported_account,humanitarian_urgency,Waterford Mail,Wednesday 12 July 1826,Waterford,London,,unknown,unknown -> London,"The text is fragmentary and unclear, presenting a reported account with no explicit source or confirmation.",True,"Text is fragmentary and partially illegible, limiting certainty and full interpretation."
MISSOLONGHII_BATTLE_NOV_1825_36BD87,MISSOLONGHI_BATTLE_NOV_1825,battle,Attack by Caraiskaki near Missolonghi,near Missolonghi,13 novembre,reported,reported_account,military_strategic,Journal Politique Et Littéraire Du Bas-Rhin,1826-01-01,Unknown,Brussels,Nouvelles reçues par le Comité grec,unknown,Brussels -> Comité grec,"The information is presented as news received by the Greek Committee but lacks official confirmation, indicating a reported account rather than confirmed fact.",False,
MISSOLONGHII_SIEGE_DEC_1825_1188DD,MISSOLONGHI_SIEGE_DEC_1825,military_movement,Operations around Missolonghi and naval engagements near Patras,"Missolonghi, Morée, Golfe de Patras",up to 11 December 1825,reported,reported_account,military_strategic,Journal Politique Et Littéraire Du Bas-Rhin,1826-01-03,Unknown,Trieste,Enfin il est arrivé des nouvelles directes de la Morée jusqu'au 11 du courant.,unknown,Morée -> Trieste -> Journal Politique Et Littéraire Du Bas-Rhin,"The information is based on recent but indirect reports arriving via Trieste, indicating moderate reliability but lacking official confirmation.",False,
GREEK_WAR_LIVADIA_DEC1825_162689,GREEK_WAR_LIVADIA_DEC1825,military_movement,Greek military operations in Livadia and Thessaly,"Livadia, Thessaly, Salone",14 décembre,reported,reported_account,military_strategic,Le Courrier Français,1826-01-03,Paris,Zante,D'après les nouvelles reçues de Calcutta,letter,Trieste -> Calcutta,"The information is based on commercial letters and news received from Calcutta and Trieste, indicating reported but not confirmed military movements.",False,
PATRAS_NAVAL_BATTLE_DEC_1825_8751EE,PATRAS_NAVAL_BATTLE_DEC_1825,naval_operation,Naval battle off Patras,Patras,1 décembre,reported,reported_account,military_strategic,Journal des Débats,1826-01-04,Paris,Prevesa,"Une barque, arrivée de Calamos à l'instant même, apporte la nouvelle que, le 1 décembre, les Gress out attaqué la",ship,Calamos -> Paris,"The information is based on a recent report brought by a boat from Calamos, indicating a reported but not officially confirmed naval engagement.",False,
GREEK_TROOP_MOVEMENTS_1825_C05EB0,GREEK_TROOP_MOVEMENTS_1825,military_movement,Greek troop redeployment to Morée,"Morée, Napoli de Romanie, Corinthe",décembre 1825,reported,reported_account,military_strategic,"Journal De Lot-Et-Garonne : [Puis Politique, Administratif, Littéraire, Dannonces Judiciaires Et Davis Divers Puis Feuille Des Mairies, Administrative, Politique, Commerciale Et Dannonces Judiciaires]",1826-01-07,Unknown,Smyrna,"Smyrne, cr. décembre. On apprend que le gouvernement grec a fait aux primats de Hydra et de Spezzia l'invitation",unknown,Smyrne -> Journal De Lot-Et-Garonne,"The information is presented as received news with phrases indicating hearsay and uncertainty, lacking official confirmation.",False,
MILITARY_MOVEMENT_LORD_COCHRANE_S_COMMITMENT_TO_GREEK_COMMITTEE_1826_01_08_1826_23FB14,,military_movement,Lord Cochrane's commitment to Greek committee,,1826-01-08,reported,reported_account,military_strategic,Journal du Commerce,1826-01-12,Paris,Geneva,Le Morning-Post de Dublin annonce que lord Cochrane a déclaré aux députés du comité grec,newspaper_reprint,Geneva -> Dublin -> Paris,"The information is a secondhand newspaper report citing a declaration by Lord Cochrane to Greek committee deputies, without official confirmation.",False,
MISSOLONGHII_NAVAL_OPERATIONS_DEC_1825_0AA69C,MISSOLONGHI_NAVAL_OPERATIONS_DEC_1825,naval_operation,Greek and Turkish fleets before Patras and Missolonghi,Patras and Missolonghi,5 décembre,reported,reported_account,military_strategic,Niederrheinischer Kurier,1826-01-12,Strasbourg,Corfu,"Par Corfou, 5 décembre.",letter,Corfu -> Strasbourg,"The information is based on letters received via Corfu and includes uncertainty about the fleets' operations, indicating a reported but unconfirmed status.",False,
PELOPONNESE_CAMPAIGN_1825_86A096,PELOPONNESE_CAMPAIGN_1825,military_movement,Ibrahim-Pacha's campaign in Arcadia and Peloponnese,"Arcadia, Peloponnese",5 December 1825 and 25 November 1825,reported,reported_account,military_strategic,Le Constitutionnel,1826-01-13,Paris,Nafplio,"Les rapports de l'amiral Miaoulis, qui vont jusqu'au 27 novembre nous apprennent",official_dispatch,Napoli de Romanie -> Le Constitutionnel (Paris),"The information is based on official reports from Admiral Miaoulis and dated military movements, but no explicit confirmation is given; some details are attributed to rumors.",False,
MISSOLONGHII_SIEGE_1826_0CD01D,MISSOLONGHI_SIEGE_1826,siege,Siege of Missolonghi,Missolonghi,1826-01-28,reported,reported_account,military_strategic,Belfast Commercial Chronicle,1826-01-28,Antrim,Greece,,unknown,Greece -> Antrim,The information is presented as news learned from Greece but lacks explicit official confirmation or multiple sources.,False,
MISSOLONGHII_SIEGE_JAN_1826_7D6A5A,MISSOLONGHI_SIEGE_JAN_1826,military_movement,Siege of Missolonghi,Missolonghi,17 (January 1826),reported,reported_account,military_strategic,Journal des Débats,1826-01-28,Paris,Nafplio,D'après des nouvelles plus récentes de Napoli,ship,Napoli -> Paris,"The information is based on secondhand reports and rumors from ships and correspondences, lacking official confirmation.",False,
IBRAHIM_OPERATIONS_LATE_1825_456B82,IBRAHIM_OPERATIONS_LATE_1825,military_movement,Ibrahim Pacha's operations in Pyrgos and Gastouni,"Pyrgos, Gastouni, Missolonghi",26 November - 13 December 1825,reported,reported_account,military_strategic,"Journal De Lot-Et-Garonne : [Puis Politique, Administratif, Littéraire, Dannonces Judiciaires Et Davis Divers Puis Feuille Des Mairies, Administrative, Politique, Commerciale Et Dannonces Judiciaires]",1826-01-28,Unknown,Zante,"Des nouvelles de Zante, du 14 décembre, apprennent cobra- son aide-de-camp",unknown,Zante -> Journal De Lot-Et-Garonne,"The information is based on dated news reports from Zante and Hydra, indicating reported but not officially confirmed military actions.",False,
MISSOLONGHII_SIEGE_JAN1826_BAC969,MISSOLONGHI_SIEGE_JAN1826,military_movement,Greek fleet movement near Missolonghi,Missolonghi,22 January 1826,reported,reported_account,military_strategic,Journal du Commerce,1826-01-28,Paris,Acarnania,"Un paquebot anglais qui a quitté les parages de l'Acarnanie douze jours après le départ de Miaoulis, nous a apporté",ship,Acarnanie -> Paris,"The information is based on a report received via an English packet ship twelve days after departure from Acarnania, indicating a secondhand report rather than official confirmation.",False,
MISSOLONGHII_BATTLE_JAN_1826_3AE1C5,MISSOLONGHI_BATTLE_JAN_1826,battle,Battle near Missolonghi,Missolonghi,3 January (implied by 'en date du 3'),reported,reported_account,military_strategic,Létoile : Journal Du Soir,1826-01-29,Paris,Corfu,"Les nouvelles de Corfou en date du 3, seraient, si elles se con- firmaient, de la plus grande importance",newspaper_reprint,Corfu -> Paris,"The information is reported as unconfirmed news from Corfu dated the 3rd, awaiting confirmation and based on other newspapers' announcements.",False,
IBRAHIM_CAMPAIGN_1826_0F7CCF,IBRAHIM_CAMPAIGN_1826,military_movement,Ibrahim Pacha's campaign in Peloponnese,"Peloponnese, Patras, Missolonghi, Corinth Isthmus",1826,reported,reported_account,ottoman_barbarity,Journal du Commerce,1826-01-30,Paris,Constantinople,Extrait d'une lettre particulière.,private_correspondence,Constantinople -> Paris,"The information is based on a private letter excerpt and reflects a pro-Greek editorial stance, thus it is a reported account with some bias and no official confirmation.",False,
TRIPOLITZA_SIEGE_WINTER_1825_1826_C56C24,TRIPOLITZA_SIEGE_WINTER_1825_1826,siege,Siege of Tripolitza and Military Operations around Missolonghi,"Tripolitza, Isthmus of Corinth, Missolonghi",winter campaign 1825-1826,reported,reported_account,military_strategic,Le Courrier Français,1826-01-31,Paris,Nafplio,,unknown,Nafplio -> Paris,"The information is a newspaper report citing recent military developments and referencing another newspaper source, without official confirmation.",False,
MISSOLONGHII_BATTLE_JAN_1826_3AE1C5,MISSOLONGHI_BATTLE_JAN_1826,battle,Battle near Missolonghi,Missolonghi,3 January 1826,rumor,rumor_wave,military_strategic,"Feuille Daffiches, Annonces Et Avis Divers De Valenciennes",1826-01-31,Unknown,Trieste,"On ecrit de Trieste, 15 janvier : Les nouvelles de Corfou en date du 3",letter,Corfu -> Trieste -> Valenciennes,"The information is presented as unconfirmed news received via letter from Trieste, awaiting confirmation.",False,
CLARENZA_NAVAL_OPERATION_NOV_1825_08B28F,CLARENZA_NAVAL_OPERATION_NOV_1825,naval_operation,Naval engagements near Clarenza,Clarenza,15-27 November 1825,reported,reported_account,military_strategic,Le Moniteur Universel,1826-01-31,Paris,Nafplio,Extrait d'une dépéche de l'amiral Miaulis du 15-27 novembre.,official_dispatch,Nafplio -> Clarenza,"The information is based on an official dispatch from Admiral Miaulis and other government decrees, indicating a reported but not fully confirmed account.",False,
MISSOLONGHII_BATTLE_FEB_1826_937215,MISSOLONGHI_BATTLE_FEB_1826,battle,Battle near Missolonghi,Missolonghi,3 (February 1826),rumor,reported_account,military_strategic,Journal du Commerce,1826-02-01,Paris,Corfu,"Les nouvelles de Corfou en date du 3, se-raient, si elles se confirmaient, de la plus grande importance",unknown,Corfu -> Paris,"The information is presented as unconfirmed news from Corfu with anticipation for confirmation, indicating it is a rumor rather than verified fact.",False,
MISSOLONGHII_SIEGE_DEC_1825_1188DD,MISSOLONGHI_SIEGE_DEC_1825,siege,Siege of Missolonghi,Missolonghi,28 décembre du nouveau style,reported,reported_account,military_strategic,"Le Véridique : Journal Administratif, Judiciaire, Littéraire Du Département De Lhérault",1826-02-01,Montpellier,Missolonghi,"nous réce- vons de nouveau quelques numéros de la Chronique greeque, imprimée à Missolunghi",newspaper_reprint,Missolunghi -> Montpellier,"The information is based on recent issues of a Greek newspaper printed in Missolonghi, presenting a counter-narrative to French newspapers, but lacks official confirmation.",False,
NAVARINO_BATTLE_JAN_1826_755C3A,NAVARINO_BATTLE_JAN_1826,naval_operation,Battle of Navarino,Navarino,6 January 1826,reported,reported_account,military_strategic,Le Drapeau Blanc / Par A Martainville Et Plusieurs Hommes De Lettres,1826-02-02,Paris,Missolonghi,Ils se rapportent à ce que nous avons précédemment annoncé relativement à un avantage remporté par les Grecs,newspaper_reprint,Missolonghi -> Paris,"The report is a newspaper account referencing previous announcements and uses cautious language, indicating it is a reported but not officially confirmed event.",False,
MISSOLONGHII_BATTLE_JAN1826_6C1BE7,MISSOLONGHI_BATTLE_JAN1826,battle,Battle near Missolonghi,Missolonghi,5 January 1826,rumor,rumor_wave,military_strategic,Journal Politique Et Littéraire De Toulouse Et De La Haute-Garonne,1826-02-02,Toulouse,Trieste,"On écrit de Trieste, 15 janvier",letter,Corfou -> Trieste -> Toulouse,"The information is presented as unconfirmed rumor awaiting verification, based on a letter from Trieste citing news from Corfu.",False,
MISSOLONGHII_FEB_1826_7E0089,MISSOLONGHI_FEB_1826,military_movement,Ibrahim Pacha's movement to Missolonghi,Missolonghi,few days before publication (early 1826),reported,reported_account,military_strategic,Létoile : Journal Du Soir,1826-02-02,Paris,Missolonghi,,unknown,Missolonghi -> Paris,"The information is a reported account without explicit source citation or official confirmation, indicating moderate reliability.",False,
MISSOLONGHII_SIEGE_1825_1826_145BFB,MISSOLONGHI_SIEGE_1825_1826,siege,Siege of Missolonghi,Missolonghi,7 décembre dernier,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1826-02-02,Bordeaux,Zante,,unknown,Zante -> Bordeaux,"The information is a newspaper report from a French source citing events in Zante, without explicit official confirmation.",False,
MISSOLONGHII_SIEGE_1825_1826_145BFB,MISSOLONGHI_SIEGE_1825_1826,siege,Siege of Missolonghi,Missolonghi,"7 décembre (last year), 2 janvier (letter date)",reported,reported_account,military_strategic,Journal Politique Et Littéraire Du Bas-Rhin,1826-02-03,Unknown,Nafplio,La cinquième année de la guerre des Grecs contre les Tures s'annonce sous de plus heureux aus auspices que celle,letter,Nafplio -> Zante,"The information is based on a letter dated 2 January and official decrees, indicating a reported account but not official confirmation.",False,
MISSOLONGHII_BATTLE_DEC_1825_271218,MISSOLONGHI_BATTLE_DEC_1825,battle,Greek victories near Corinth and Missolonghi,"Corinthe, Missolonghi",décembre 1825,rumor,reported_account,military_strategic,La Quotidienne,1826-02-03,Paris,Zante,"lettres de Zante, venues par Livourne, qui racontent les combats pris dane loune livrés sous Corinthe et devant Missolonghi",letter,Zante -> Livourne -> Paris,"The report is based on doubtful sources and Greek gazettes, indicating the information is unconfirmed and possibly exaggerated.",False,
MISSOLONGHII_SIEGE_1826_0CD01D,MISSOLONGHI_SIEGE_1826,siege,Siege of Missolonghi,Missolonghi,1826,reported,reported_account,military_strategic,"Affiches, Annonces Et Avis Divers De La Ville De Strasbourg",1826-02-04,Unknown,Missolonghi,des lettres d'Athènes prouvent que les assiégés ont vu avec une extrême frayeur le retour de la flotte tarque,letter,Athènes -> Missolonghi -> Strasbourg,The information is based on letters and reports indicating ongoing military actions and critical conditions but lacks official confirmation.,False,
GREEK_NAVAL_OPERATIONS_NOV_1825_E8DD01,GREEK_NAVAL_OPERATIONS_NOV_1825,military_movement,Greek naval movements near Patras and Missolonghi,"Patras, Missolonghi, gulf of Lepante",last days of November (1825),reported,reported_account,military_strategic,Niederrheinischer Kurier,1826-02-05,Strasbourg,Zante,Des nouvelles de Zante que je vous ai transmises annonçaient que Tansiral grec avait été vu se dirigeant vers le,private_correspondence,Zante -> Strasbourg,"The information is based on transmitted news from Zante and reported naval movements, without official confirmation.",False,
MISSOLONGHII_MILITARY_MOVEMENT_JAN_1826_FEDCEA,MISSOLONGHI_MILITARY_MOVEMENT_JAN_1826,military_movement,Ibrahim Pacha's movement to Missolonghi,Missolonghi,janvier 1826,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1826-02-05,Bordeaux,Missolonghi,,unknown,Missolonghi -> Bordeaux,"The information is based on reports and statements from a named individual but lacks official confirmation, indicating moderate reliability.",False,
MISSOLONGHII_BATTLE_JAN_1826_3AE1C5,MISSOLONGHI_BATTLE_JAN_1826,battle,Battle near Missolonghi and capture of Tripolitza,"Missolonghi, Tripolitza, Peloponnese",8 January 1826,reported,reported_account,military_strategic,Le Constitutionnel,1826-02-07,Paris,Corfu,"On apprend aussi de différens endroits, la prise de Tripolitza par les Grecs",newspaper_reprint,Corfu -> Paris,"The information is presented as reported news with some uncertainty and political interpretation, lacking official confirmation.",False,
MISSOLONGHII_FALL_APRIL_1826_2810A2,MISSOLONGHI_FALL_APRIL_1826,battle,Defeat of the Turkish army before Missolonghi,Missolonghi,,reported,reported_account,military_strategic,The Sun,1826-02-10,London,Inverness,,unknown,Greece -> Inverness -> London,"The information is presented as accounts that may be reliable but are not confirmed, indicating a reported but uncertain status.",False,
MISSOLONGHII_BATTLE_FEB_1826_937215,MISSOLONGHI_BATTLE_FEB_1826,battle,Battle near Missolonghi,Missolonghi,"eight o'clock in the morning (no exact date given, but text dated 1826-02-10)",reported,reported_account,humanitarian_urgency,Journal du Commerce,1826-02-10,Paris,Lyon,,unknown,Missolonghi -> Lyon -> Paris,"The information is a newspaper report citing casualty numbers and subscription lists without official confirmation, indicating a reported but not fully verified account.",False,
MISSOLONGHII_BATTLE_JAN_1826_3AE1C5,MISSOLONGHI_BATTLE_JAN_1826,battle,Engagement near Missolonghi,Missolonghi,24 January 1826,reported,reported_account,military_strategic,"Journal De Lot-Et-Garonne : [Puis Politique, Administratif, Littéraire, Dannonces Judiciaires Et Davis Divers Puis Feuille Des Mairies, Administrative, Politique, Commerciale Et Dannonces Judiciaires]",1826-02-11,Unknown,Constantinople,"La Gazette de Venise du 24 janvier, annonce que les lettres de Constantinople du to décembre portaient que huit Tartares,",newspaper_reprint,Constantinople -> La Gazette de Venise -> Journal De Lot-Et-Garonne,"The report includes multiple letters from various locations corroborating events, but some news (e.g. naval defeat) is noted as doubtful due to source bias and lack of precise dating.",False,
MISSOLONGHII_SIEGE_1826_0CD01D,MISSOLONGHI_SIEGE_1826,siege,Siege of Missolonghi,Missolonghi,1826,reported,reported_account,military_strategic,Journal Politique Et Littéraire De Toulouse Et De La Haute-Garonne,1826-02-11,Toulouse,Missolonghi,,unknown,Missolonghi -> Toulouse,"The information is a newspaper report from a French royalist-moderate source in 1826, presenting a narrative of military events without explicit official confirmation.",False,
TRIPOLITZA_FALL_DEC_1825_1EFCF3,TRIPOLITZA_FALL_DEC_1825,fall,Fall of Tripolitza,Tripolitza,night of 27 to 28 December,reported,reported_account,military_strategic,Le Mémorial Bordelais : Feuille Politique Et Littéraire,1826-02-13,Bordeaux,Zante,"des lettres, venues du continent, nous ont fait connaître la prise de Tripolitza",letter,Zante -> continent,"The information is based on letters received from the continent and reported by the newspaper, indicating a reported but not officially confirmed event.",False,
TRIPOLITZA_FALL_DEC_1825_1EFCF3,TRIPOLITZA_FALL_DEC_1825,fall,Fall of Tripolitza,Tripolitza,night of 27 to 28 December 1825,reported,reported_account,military_strategic,Journal Politique Et Littéraire Du Bas-Rhin,1826-02-14,Unknown,Zante,"des lettres, venues du continent, nous ont fait connaître la prise de Tripolitza",letter,continent -> Zante -> Journal Politique Et Littéraire Du Bas-Rhin,"The report is based on letters received from the continent and includes some uncertainty about other military actions, indicating a reported but not fully confirmed account.",False,
